								
Playlist download for:

Station: KALX
DJ: Kendra Levine
Number of entries: 9999999
Fields are comma delimited, in the following header order:

playid,show,playtype,genre,timestamp,artist,title,albumtitle,label,prepost,programtype,iswebcast,isrequest
14077522,Kendra K,,,02-24-2015 @ 23:05:00,Lou Reed,Perfect Day,Transformer,RCA,,live,y,
14077466,Kendra K,Single,,02-24-2015 @ 22:56:00,Busta Rhymes,It's A Party (Featuring Zhane),It's A Party,Elektra,,live,y,
14077453,Kendra K,Feature,,02-24-2015 @ 22:52:00,Midtown Social,Addicted,Down on Sixth,S/R,,live,y,
14077452,Kendra K,,,02-24-2015 @ 22:50:00,Jubilaires,You Better Run,The Singing Waiters,Heritage,,live,y,
14077404,Kendra K,Compilation,,02-24-2015 @ 22:47:00,Mar-Keys,Last Night,The Complete Stax Volt Singles Sampler,Atlantic,,live,y,
14077394,Kendra K,Feature,,02-24-2015 @ 22:43:00,Saskwatch,Born To Break Your Heart,Nose Dive,Northside,,live,y,
14077341,Kendra K,Compilation,,02-24-2015 @ 22:37:00,Dimensions,Knock You Flat,Northwest Battle of the Bands vol. 2,Beat Rocket,,live,y,
14077331,Kendra K,Compilation,,02-24-2015 @ 22:35:00,Vejtables,I Still Love You,Nuggets vol. 7,Rhino,,live,y,
14077327,Kendra K,Feature,,02-24-2015 @ 22:32:00,Acid Baby Jesus,Vegetables,Selected Recordings,Slovenly,,live,y,
14077326,Kendra K,,,02-24-2015 @ 22:30:00,Dodson's Dogs,Rain Stops Play,Rain Stops Play,Vinyl Japan,,live,y,
14077300,Kendra K,Feature Single,,02-24-2015 @ 22:28:00,Hard Left,Stay True,Split,Emotional Response,,live,y,
14077299,Kendra K,,,02-24-2015 @ 22:25:00,Business,Viva Bobby Moore,Hardcore Hooligan,Burning Heart Records,,live,y,
14077278,Kendra K,Single,,02-24-2015 @ 22:24:00,Half Man Half Biscuit,1966 And All That,The Trumpton Riots,Probe Plus,,live,y,
14077228,Kendra K,Single,,02-24-2015 @ 22:14:00,Stone Roses,Elephant Stone,Elephant Stone,Silvertone Sounds,,live,y,
14077197,Kendra K,Feature,,02-24-2015 @ 22:10:00,Electric Peanut Butter Co.,Spread The Jam,Trans-Atlantic Psych Classics Vol. 1,Ubiquity,,live,y,
14077172,Kendra K,,,02-24-2015 @ 22:07:00,Divine Comedy,Party Fears Two,Victory for the Comic Muse,Parlophone,,live,y,
14077171,Kendra K,,,02-24-2015 @ 22:02:00,Arcade Fire,Neighborhood #2,Funeral,Merge,,live,y,y
14077168,Kendra K,,,02-24-2015 @ 21:58:00,Dean Martin,It Looks Like Love,I Can't Give You Anything But Love,Pickwick,,live,y,
14077084,Kendra K,,,02-24-2015 @ 21:52:00,Bryan Ferry,Sympathy for the Devil,These Foolish Things,Atlantic,,live,y,
14077069,Kendra K,Feature Single,,02-24-2015 @ 21:48:00,Los Disco Duro,Ritmo Pegajoso,Ritmo Pegajoso,Discos Mas,,live,y,
14077058,Kendra K,,,02-24-2015 @ 21:47:00,Drum Buddy,Ride/BPM Sync,Vol. 1,Skin Graft,,live,y,
14077052,Kendra K,Feature,,02-24-2015 @ 21:44:00,Jack Name,Under the Weird Moon,Weird Moons,Castle Face,,live,y,
14077043,Kendra K,Compilation,,02-24-2015 @ 21:37:00,Honeys,The One You Can't Have,Dream Babies,Treasury,,live,y,n
14077042,Kendra K,,,02-24-2015 @ 21:35:00,Magic Kids,Hey Boy,Memphis,True Panther Sounds,,live,y,
14076977,Kendra K,Feature Single,,02-24-2015 @ 21:32:00,Dancer,Rootbeer Station,Rootbeer Station,Chocolate Covered Records,,live,y,
14076976,Kendra K,Compilation,,02-24-2015 @ 21:27:00,Plastic Bertrand,Ca Plane Pour Moi,New Wave Hits of the 80's vol. 1,Rhino,,live,y,
14076948,Kendra K,Feature Compilation,,02-24-2015 @ 21:25:00,Dieter Bier und die Puhdys,Zeiten und Weiten,Glam-o-Rama,Kiss Kiss,,live,y,
14076927,Kendra K,,,02-24-2015 @ 21:17:00,Gojko Mitic,Loescht Das Feuer,Ein Wigwam Steht In Babelsberg,Cinesoundz,,live,y,
14076860,Kendra K,Feature,,02-24-2015 @ 21:13:00,French Boutik,La Vie en Couleurs,Mieux Comme Ca,Copase,,live,y,
14076859,Kendra K,,,02-24-2015 @ 21:11:00,Kinks,Session Man,Face To Face,Reprise records,,live,y,
14076858,Kendra K,,,02-24-2015 @ 21:08:00,Screaming Lord Sutch,Till The Following Night,Screaming Lord Sutch Story,7777,,live,y,
14076807,Kendra K,,,02-24-2015 @ 21:02:00,Ray Parker Jr.,Ghostbusters,Ghostbusters,Arista,,live,y,
13968266,Kendra K,,,02-10-2015 @ 23:52:00,Whitney Houston,Greatest Love Of All,S/T,Aristra,,live,y,
13968257,Kendra K,,,02-10-2015 @ 23:46:00,Phyllis Dillon,Don't Stay Away,Midnight Confessions,Westside,,live,y,
13968228,Kendra K,Feature Compilation,,02-10-2015 @ 23:43:00,Ben R. Brown,Stemma,BOB001,Bob,,live,y,
13968227,Kendra K,Feature,,02-10-2015 @ 23:42:00,Erase Erata,History of Handclaps,Lost Weekend,Under the Sun,,live,y,
13968177,Kendra K,Feature Single,,02-10-2015 @ 23:34:00,Dancer,Rootbeer Station,Rootbeer Station,Chocolate Covered Records,,live,y,
13968176,Kendra K,,,02-10-2015 @ 23:32:00,Speedies,Let Me Take Your Photo,Speedy Delivery,Radio Heartbeat,,live,y,
13968156,Kendra K,,,02-10-2015 @ 23:28:00,Yachts,Yachting Type,S.O.S.,polydor,,live,y,
13968144,Kendra K,Feature,,02-10-2015 @ 23:24:00,Aerosols,Record City,Fake Mirror,World Famous In Sf,,live,y,
13968095,Kendra K,,,02-10-2015 @ 23:15:00,Horslips,King of Morning, Queen of Day,The Book of Invasions,DJM Records,,live,y,
13968082,Kendra K,Feature,,02-10-2015 @ 23:12:00,Kevin Morby,The Jester, The Tramp, &amp; The Acrobat,Still Life,Woodsist,,live,y,
13968063,Kendra K,,,02-10-2015 @ 23:09:00,House of Love,Touch Me,S/T,Creation,,live,y,
13968062,Kendra K,Feature Single,,02-10-2015 @ 23:05:00,Mantles,Undelivered,Memory,Slumberland,,live,y,
13967988,Kendra K,,,02-10-2015 @ 22:56:00,Peggy Lee,Is That All There Is,Is That All There Is,Capitol Records,,live,y,
13967968,Kendra K,,,02-10-2015 @ 22:52:00,Coven,One Tin Soldier,Billy Jack,Warner Bros.,,live,y,
13967953,Kendra K,,,02-10-2015 @ 22:50:00,Mudhoney,I Saw The Light,A Billion Suns,Sub Pop,,live,y,y
13967969,Kendra K,,,02-10-2015 @ 22:49:00,Bomb Bassets,Love Like Gravity,Slice of Lemon,Kill Rock Stars,,live,y,
13967940,Kendra K,Feature Single,,02-10-2015 @ 22:47:00,Hard Left,It's Not You,Split,Emotional Response,,live,y,
13967886,Kendra K,,,02-10-2015 @ 22:38:00,Aphex Twin,.000890569,Analogue Bubblebath v. 3,Rephlex,,live,y,
13967866,Kendra K,Feature Single,,02-10-2015 @ 22:35:00,Los Disco Duro,La Culebra,Ritmo Pegajoso,Disco Mas,,live,y,
13967848,Kendra K,,,02-10-2015 @ 22:30:00,Falco,Siebzehn Jahr,Einzelhaft,A&amp;M,,live,y,
13967831,Kendra K,Single,,02-10-2015 @ 22:27:00,Ledernacken,Amok Dub,Ich Will Dick Essen,SBR4T,,live,y,
13967787,Kendra K,,,02-10-2015 @ 22:17:00,Eric Clapton,Ain't Going Down,Money and Cigarettes,Duck Records,,live,y,
13967754,Kendra K,Feature,,02-10-2015 @ 22:14:00,Gruff Rhys,The Last Conquistador,American Interior,Turnstile,,live,y,
13967739,Kendra K,,,02-10-2015 @ 22:11:00,Mull Historical Society,This Is Not Who We Were,Loss,XL Recordings,,live,y,
13967709,Kendra K,Feature Compilation,,02-10-2015 @ 22:07:00,Linda Yamamoto,Furi Furi 5,Nippon Girls Vol. 2,Ace,,live,y,
13967702,Kendra K,,,02-10-2015 @ 22:05:00,Frank  Sinatra,This Town,The World We Knew,Reprise,,live,y,
13967656,Kendra K,Single,,02-10-2015 @ 21:56:00,Third Base,Product of the Environment,Product of the Environment,Def Jam,,live,y,
13967640,Kendra K,Single,,02-10-2015 @ 21:52:00,Spunkadelic,Take Me Like I Am,Take Me Like I Am,SBK Records,,live,y,
13967621,Kendra K,Feature,,02-10-2015 @ 21:48:00,Run The Jewels,Early,Run the Jewels 2,Mass Appeal,,live,y,
13967605,Kendra K,,,02-10-2015 @ 21:45:00,Isley Brothers,Work To Do,The Isleys,T Neck,,live,y,
13967604,Kendra K,,,02-10-2015 @ 21:44:00,J Dilla,Bye,Donuts,S/R,,live,y,
13967544,Kendra K,,,02-10-2015 @ 21:36:00,Sweet,No You Don't,Desolation Boulevard,Capitol Records,,live,y,
13967528,Kendra K,,,02-10-2015 @ 21:29:00,Stooges,No Fun,S/T,Elektra,,live,y,
13967511,Kendra K,Feature Compilation,,02-10-2015 @ 21:26:00,Bliss,Fear of Fears,Hadley Murrell Presents: The Best Arizona Garage Bands 1967-1970,HDM,,live,y,
13967510,Kendra K,Compilation,,02-10-2015 @ 21:24:00,Bar-B-Q Killers,His and Hearse,Athens, GA Inside Out,IRS,,live,y,
13967432,Kendra K,,,02-10-2015 @ 21:17:00,Melvins,Zodiac,Bullhead,Boner Records,,live,y,y
13967420,Kendra K,Feature,,02-10-2015 @ 21:11:00,Bjork,Mouth Mantra,Vulnicura,One Little Indian,,live,y,
13967387,Kendra K,Compilation,,02-10-2015 @ 21:09:00,Betty Hutton,It's Oh So Quiet,Hooray For Hollywood,RCA,,live,y,
13967386,Kendra K,,,02-10-2015 @ 21:05:00,Shirley Temple,We Should Be Together (From Little Miss Marker),Our Girl,RCA,,live,y,
13915936,Kendra K,,,02-03-2015 @ 20:58:00,Matmos,Solo Button For Joe Meek,The Rose Has Teeth In The Mouth of a Beast,Matador,,live,y,
13915935,Kendra K,,,02-03-2015 @ 20:54:00,Wreckless Eric,Joe Meek,Donovan Trash,Sympathy For The Record Industry,,live,y,
13915912,Kendra K,,,02-03-2015 @ 20:52:00,Screaming Lord Sutch,Jack The Ripper,Alchemist of Pop,Castle Music,,live,y,
13915901,Kendra K,,,02-03-2015 @ 20:49:00,Colin Hicks &amp; His Cabin Boys,Wild Eyes And Tender Lips,The Joe Meek Story,Castle Music,,live,y,
13915890,Kendra K,Compilation,,02-03-2015 @ 20:48:00,Thunderbolts,Lost Planet,Vampires, Cowboys &amp; Spooks - The Very Best of Joe Meek's Instrumentals,Castle Music,,live,y,
13915854,Kendra K,Compilation,,02-03-2015 @ 20:45:00,Johnny Leyton,Johnny Remember Me,Portrait of a Genius,Castle Music,,live,y,
13915833,Kendra K,,,02-03-2015 @ 20:42:00,Honeycombs,Have I The Right,Here Are The Honeycombs,Interphon,,live,y,
13915804,Kendra K,Compilation,,02-03-2015 @ 20:35:00,Billy Dean,Live It Up,Joe Meek From Beyond The Grave,Acced Records,,live,y,
13915785,Kendra K,,,02-03-2015 @ 20:32:00,Tony Dangerfield &amp; Thrills,She's Too Way Out,The Joe Meek Story - The Pye Years,Sequel Records,,live,y,
13915759,Kendra K,Single,,02-03-2015 @ 20:29:00,Tornados,Telstar,Telstar,Decca,,live,y,
13915742,Kendra K,Compilation,,02-03-2015 @ 20:27:00,Puppets,Shake With Me,Joe Meek Freak Beat,Castle Face,,live,y,
13915736,Kendra K,,,02-03-2015 @ 20:26:00,Heinz,Been Invited To A Party,The Singles,Triumph,,live,y,
13915735,Kendra K,Compilation,,02-03-2015 @ 20:23:00,Gary Miller,Robin Hood,The Joe Meek Story,Sequel Records,,live,y,
13915710,Kendra K,,,02-03-2015 @ 20:20:00,Joe Meek &amp; The Blue Men,I Hear A new World,I Hear A New World,Poppy Disc,,live,y,
13915668,Kendra K,,,02-03-2015 @ 20:13:00,Buddy and Bob,You And I Are Through,Apartment Demos,bootleg,,live,y,
13915681,Kendra K,,,02-03-2015 @ 20:13:00,Mike Berry &amp; The Outlaws,Tribute to Buddy Holly,From Beyond The Grave,Acced Records,,live,y,
13915663,Kendra K,,,02-03-2015 @ 20:10:00,Nashville Teens,La Bamba,Tobacco Road,London,,live,y,
13915635,Kendra K,,,02-03-2015 @ 20:04:00,Waylon Jennngs,Medley of Buddy Holly Hits,I've Always Been Crazy,RCA,,live,y,
13915600,Kendra K,,,02-03-2015 @ 20:02:00,Everly Brothers,Maybe Tomorrow,The Everly Brothers,Rhino Records,,live,y,
13915557,Kendra K,Compilation,,02-03-2015 @ 19:57:00,Lolitas,Not Fade Away,Everyday is a Holly Day,Emergo,,live,y,
13915548,Kendra K,Compilation,,02-03-2015 @ 19:55:00,Why Four,Not Fade Away,Pebbles vol. 2,AIP,,live,y,
13915531,Kendra K,,,02-03-2015 @ 19:52:00,Diana Ross &amp; The Supremes,Not Fade Away,Let The Music Play: Supremes Rarities,Motown,,live,y,
13915519,Kendra K,,,02-03-2015 @ 19:51:00,Rolling Stones,Not Fade Away,Got Live If You Want It,London,,live,y,
13915465,Kendra K,,,02-03-2015 @ 19:46:00,Milkshakes,Peggy Sue,20 Rock and Roll Hits,Big Beat,,live,y,
13915454,Kendra K,,,02-03-2015 @ 19:44:00,Lou Reed,Peggy Sue,Rave On Buddy Holly,Fantasy,,live,y,
13915440,Kendra K,,,02-03-2015 @ 19:41:00,Ritchie Valens,Fast Freight,The Best of Ritchie Valens,Del-Fi,,live,y,
13915420,Kendra K,,,02-03-2015 @ 19:40:00,Buddy Holly,Blue Days, Black Nights,The Great Buddy Holly,MCA,,live,y,
13915405,Kendra K,,,02-03-2015 @ 19:37:00,John Lennon,Peggy Sue,Rock 'n' Roll,Capitol,,live,y,
13915388,Kendra K,,,02-03-2015 @ 19:35:00,Knack,Heartbeat,Get The Knack,Capitiol,,live,y,
13915353,Kendra K,Compilation,,02-03-2015 @ 19:26:00,Roulettes,La Bamba,Beat Beat Beat,Sanctuary,,live,y,
